Transaction,Item,period_day,weekday_weekend
34,Muffin,morning,weekend
35,Muffin,morning,weekend
35,Scandinavian,morning,weekend
36,Tea,morning,weekend
36,Bread,morning,weekend
37,Coffee,morning,weekend
37,Bread,morning,weekend
38,Bread,morning,weekend
38,Tea,morning,weekend
39,Scandinavian,morning,weekend
40,Juice,morning,weekend
40,Tartine,morning,weekend
40,Coffee,morning,weekend
40,Muffin,morning,weekend
41,Scandinavian,morning,weekend
42,Bread,morning,weekend
42,Tea,morning,weekend
43,Scandinavian,afternoon,weekend
43,Fudge,afternoon,weekend
44,Coffee,afternoon,weekend
44,Medialuna,afternoon,weekend
45,Coffee,afternoon,weekend
45,Hot chocolate,afternoon,weekend
45,Medialuna,afternoon,weekend
46,Coffee,afternoon,weekend
47,Ella's Kitchen Pouches,afternoon,weekend
47,Juice,afternoon,weekend
47,Bread,afternoon,weekend
47,Muffin,afternoon,weekend
47,Jam,afternoon,weekend
48,Coffee,afternoon,weekend
49,Coffee,afternoon,weekend
49,Coffee,afternoon,weekend
49,Medialuna,afternoon,weekend
50,Bread,afternoon,weekend
50,Victorian Sponge,afternoon,weekend
51,Bread,afternoon,weekend
52,Scandinavian,afternoon,weekend
54,Bread,afternoon,weekend
55,Frittata,afternoon,weekend
55,Coffee,afternoon,weekend
55,Tea,afternoon,weekend
55,Hearty & Seasonal,afternoon,weekend
56,Coffee,afternoon,weekend
56,Frittata,afternoon,weekend
57,Scandinavian,afternoon,weekend
58,Victorian Sponge,afternoon,weekend
58,Hot chocolate,afternoon,weekend
58,Tea,afternoon,weekend
58,Soup,afternoon,weekend
59,Tea,afternoon,weekend
60,Cookies,afternoon,weekend
60,Coffee,afternoon,weekend
60,Juice,afternoon,weekend
60,Coffee,afternoon,weekend
61,Coffee,afternoon,weekend
62,Pick and Mix Bowls,afternoon,weekend
62,Hearty & Seasonal,afternoon,weekend
62,Hearty & Seasonal,afternoon,weekend
62,Coffee,afternoon,weekend
62,Smoothies,afternoon,weekend
62,Coffee,afternoon,weekend
63,Coffee,afternoon,weekend
64,Cake,afternoon,weekend
65,Tartine,afternoon,weekend
65,Mighty Protein,afternoon,weekend
65,Tea,afternoon,weekend
65,Coffee,afternoon,weekend
66,Hearty & Seasonal,afternoon,weekend
66,Frittata,afternoon,weekend
66,Mineral water,afternoon,weekend
67,Hearty & Seasonal,afternoon,weekend
67,Mineral water,afternoon,weekend
67,Muffin,afternoon,weekend
68,Frittata,afternoon,weekend
68,Coffee,afternoon,weekend
68,Tea,afternoon,weekend
68,Scandinavian,afternoon,weekend
68,Chicken sand,afternoon,weekend
69,Bread,afternoon,weekend
69,Tea,afternoon,weekend
69,Victorian Sponge,afternoon,weekend
70,Fudge,afternoon,weekend
71,Muffin,afternoon,weekend
72,Coffee,afternoon,weekend
72,Bread,afternoon,weekend
73,Bread,afternoon,weekend
74,Coffee,afternoon,weekend
74,Bread,afternoon,weekend
75,Jam,afternoon,weekend
75,Frittata,afternoon,weekend
76,Coffee,afternoon,weekend
77,Scandinavian,afternoon,weekend
78,Fudge,afternoon,weekend
79,Fudge,afternoon,weekend
79,Tea,afternoon,weekend
79,Coffee,afternoon,weekend
79,Muffin,afternoon,weekend
80,Frittata,afternoon,weekend
80,Bread,afternoon,weekend
80,Coffee,afternoon,weekend
81,Coffee,morning,weekday
81,Cake,morning,weekday
82,Tartine,morning,weekday
82,Bread,morning,weekday
83,Coffee,morning,weekday
83,Bread,morning,weekday
84,Bread,morning,weekday
85,Coffee,morning,weekday
85,Coffee,morning,weekday
85,Pastry,morning,weekday
85,Medialuna,morning,weekday
86,Juice,morning,weekday
87,Bread,morning,weekday
88,Coffee,morning,weekday
88,Coffee,morning,weekday
88,Jam,morning,weekday
89,Bread,morning,weekday
90,Bread,morning,weekday
90,Coffee,morning,weekday
91,Tea,morning,weekday
92,Coffee,morning,weekday
93,Bread,morning,weekday
93,Coke,morning,weekday
94,Coffee,morning,weekday
94,Coffee,morning,weekday
95,Tea,morning,weekday
95,Pastry,morning,weekday
95,Farm House,morning,weekday
96,Pastry,morning,weekday
96,Pastry,morning,weekday
96,Coffee,morning,weekday
96,Juice,morning,weekday
97,Coffee,morning,weekday
97,Pastry,morning,weekday
97,Juice,morning,weekday
98,Farm House,morning,weekday
99,Pastry,morning,weekday
99,Pastry,morning,weekday
99,Coffee,morning,weekday
99,Bread,morning,weekday
100,Bread,morning,weekday
101,Coffee,morning,weekday
101,Pastry,morning,weekday
102,Farm House,morning,weekday
103,Bread,morning,weekday
104,Coffee,morning,weekday
104,Coffee,morning,weekday
104,Medialuna,morning,weekday
104,Muffin,morning,weekday
104,Coffee,morning,weekday
105,Coffee,morning,weekday
105,Tea,morning,weekday
105,Cake,morning,weekday
106,Coffee,morning,weekday
106,Coffee,morning,weekday
106,Pastry,morning,weekday
106,Pastry,morning,weekday
107,Coffee,morning,weekday
107,Tea,morning,weekday
108,Farm House,morning,weekday
108,Muffin,morning,weekday
109,Bread,morning,weekday
109,Muffin,morning,weekday
109,Pastry,morning,weekday
110,Pastry,morning,weekday
111,Coffee,morning,weekday
112,Coffee,morning,weekday
113,Coffee,morning,weekday
113,Cake,morning,weekday
114,Farm House,morning,weekday
115,Bread,morning,weekday
116,Coffee,morning,weekday
117,Cookies,morning,weekday
117,Cake,morning,weekday
117,Coffee,morning,weekday
117,My-5 Fruit Shoot,morning,weekday
118,Cookies,morning,weekday
118,Cookies,morning,weekday
118,Tea,morning,weekday
118,Pastry,morning,weekday
119,Coffee,morning,weekday
119,Coffee,morning,weekday
119,Muffin,morning,weekday
120,Farm House,morning,weekday
121,Coffee,morning,weekday
121,Bread,morning,weekday
122,Cookies,morning,weekday
123,Jam,morning,weekday
123,Coffee,morning,weekday
123,Coffee,morning,weekday
123,Juice,morning,weekday
124,Coffee,morning,weekday
124,Soup,morning,weekday
125,Tea,morning,weekday
126,Coffee,morning,weekday
126,Jam,morning,weekday
127,Farm House,morning,weekday
128,Tartine,morning,weekday
128,Coffee,morning,weekday
128,Tea,morning,weekday
129,Coffee,morning,weekday
129,Coffee,morning,weekday
129,Cake,morning,weekday
130,Coffee,afternoon,weekday
130,Coffee,afternoon,weekday
130,Muffin,afternoon,weekday
131,Bread,afternoon,weekday
131,Coffee,afternoon,weekday
132,Tea,afternoon,weekday
132,Juice,afternoon,weekday
132,Pick and Mix Bowls,afternoon,weekday
132,Cookies,afternoon,weekday
133,Hearty & Seasonal,afternoon,weekday
133,Soup,afternoon,weekday
134,Hearty & Seasonal,afternoon,weekday
134,Tea,afternoon,weekday
134,Farm House,afternoon,weekday
135,Bread,afternoon,weekday
136,Tea,afternoon,weekday
136,Soup,afternoon,weekday
137,Farm House,afternoon,weekday
138,Soup,afternoon,weekday
138,Hearty & Seasonal,afternoon,weekday
138,Coffee,afternoon,weekday
139,Bread,afternoon,weekday
139,Muffin,afternoon,weekday
139,Hearty & Seasonal,afternoon,weekday
140,Coffee,afternoon,weekday
140,Coffee,afternoon,weekday
140,Cookies,afternoon,weekday
141,Bread,afternoon,weekday
142,Tea,afternoon,weekday
142,Muffin,afternoon,weekday
143,Tea,afternoon,weekday
144,Soup,afternoon,weekday
144,Hearty & Seasonal,afternoon,weekday
145,Coffee,afternoon,weekday
145,Tea,afternoon,weekday
145,Focaccia,afternoon,weekday
146,Sandwich,afternoon,weekday
147,Tartine,afternoon,weekday
147,Coffee,afternoon,weekday
148,Fudge,afternoon,weekday
148,Coffee,afternoon,weekday
148,Coffee,afternoon,weekday
149,Coffee,afternoon,weekday
150,Bread,afternoon,weekday
151,Coke,afternoon,weekday
151,Soup,afternoon,weekday
152,Muffin,afternoon,weekday
153,Tea,afternoon,weekday
153,Coffee,afternoon,weekday
153,Cookies,afternoon,weekday
153,Muffin,afternoon,weekday
154,Mighty Protein,afternoon,weekday
154,Hearty & Seasonal,afternoon,weekday
154,Coffee,afternoon,weekday
154,Coke,afternoon,weekday
155,Tea,afternoon,weekday
155,Muffin,afternoon,weekday
155,Sandwich,afternoon,weekday
156,Coffee,afternoon,weekday
156,Muffin,afternoon,weekday
157,Coffee,afternoon,weekday
157,Bread,afternoon,weekday
158,Coffee,afternoon,weekday
158,Muffin,afternoon,weekday
159,Bread,afternoon,weekday
159,Hot chocolate,afternoon,weekday
159,Cookies,afternoon,weekday
160,Mineral water,afternoon,weekday
160,Muffin,afternoon,weekday
161,Tea,afternoon,weekday
162,Muffin,afternoon,weekday
163,Coffee,afternoon,weekday
163,Juice,afternoon,weekday
164,Coffee,afternoon,weekday
164,Muffin,afternoon,weekday
165,Tea,afternoon,weekday
166,Coffee,afternoon,weekday
166,Muffin,afternoon,weekday
167,Sandwich,afternoon,weekday
167,Hearty & Seasonal,afternoon,weekday
167,Bread,afternoon,weekday
167,Mineral water,afternoon,weekday
168,Tea,afternoon,weekday
168,Coffee,afternoon,weekday
169,Mineral water,afternoon,weekday
170,Coffee,afternoon,weekday
171,Soup,afternoon,weekday
171,Tea,afternoon,weekday
172,Bread,evening,weekday
172,Coffee,evening,weekday
173,Bread,evening,weekday
173,Muffin,evening,weekday
174,Coffee,evening,weekday
175,Bread,evening,weekday
176,Cookies,evening,weekday
176,Coffee,evening,weekday
178,Coffee,morning,weekday
178,Pastry,morning,weekday
179,Coffee,morning,weekday
179,Pastry,morning,weekday
180,Jam,morning,weekday
180,Tea,morning,weekday
181,Tea,morning,weekday
181,Tea,morning,weekday
182,Pastry,morning,weekday
182,Pastry,morning,weekday
182,Ella's Kitchen Pouches,morning,weekday
183,Pastry,morning,weekday
184,Farm House,morning,weekday
184,Tea,morning,weekday
185,Tea,morning,weekday
185,Victorian Sponge,morning,weekday
186,Tea,morning,weekday
186,Pastry,morning,weekday
187,Bread,morning,weekday
188,Coffee,morning,weekday
189,Bread,morning,weekday
189,Coffee,morning,weekday
190,Coffee,morning,weekday
190,Pastry,morning,weekday
190,Pastry,morning,weekday
191,Soup,morning,weekday
191,Tea,morning,weekday
192,Bread,morning,weekday
193,Coffee,morning,weekday
194,Bread,morning,weekday
194,Bread,morning,weekday
195,Bread,morning,weekday
195,Scandinavian,morning,weekday
196,Bread,morning,weekday
196,Cake,morning,weekday
196,Cookies,morning,weekday
197,Coffee,morning,weekday
197,Coffee,morning,weekday
197,Tea,morning,weekday
198,Coffee,morning,weekday
198,Cookies,morning,weekday
199,Coffee,morning,weekday
200,Bread,morning,weekday
201,Coffee,morning,weekday
201,Pastry,morning,weekday
202,Coffee,morning,weekday
202,Coffee,morning,weekday
203,Coffee,morning,weekday
204,Scandinavian,morning,weekday
204,Bread,morning,weekday
205,Coffee,morning,weekday
205,Coffee,morning,weekday
205,Pastry,morning,weekday
206,Scandinavian,morning,weekday
206,Coffee,morning,weekday
206,Pastry,morning,weekday
207,Hearty & Seasonal,afternoon,weekday
207,Coffee,afternoon,weekday
207,Muffin,afternoon,weekday
208,Bread,afternoon,weekday
209,Coffee,afternoon,weekday
210,Scandinavian,afternoon,weekday
211,Soup,afternoon,weekday
211,Coffee,afternoon,weekday
212,Coffee,afternoon,weekday
212,Cookies,afternoon,weekday
212,Tartine,afternoon,weekday
213,Bread,afternoon,weekday
214,Bread,afternoon,weekday
214,Tea,afternoon,weekday
214,Tea,afternoon,weekday
215,Pastry,afternoon,weekday
215,Coffee,afternoon,weekday
216,Tartine,afternoon,weekday
216,Coffee,afternoon,weekday
217,Bread,afternoon,weekday
217,Cookies,afternoon,weekday
218,Sandwich,afternoon,weekday
219,Tartine,afternoon,weekday
220,Bread,afternoon,weekday
220,Pastry,afternoon,weekday
221,Bread,afternoon,weekday
221,Scandinavian,afternoon,weekday
222,Scandinavian,afternoon,weekday
223,Alfajores,afternoon,weekday
223,Coffee,afternoon,weekday
224,Coffee,afternoon,weekday
225,Coffee,afternoon,weekday
225,Coke,afternoon,weekday
225,Soup,afternoon,weekday
226,Cake,afternoon,weekday
227,Tea,afternoon,weekday
227,Sandwich,afternoon,weekday
227,Soup,afternoon,weekday
228,Coffee,afternoon,weekday
229,Hearty & Seasonal,afternoon,weekday
229,Bread,afternoon,weekday
230,Alfajores,afternoon,weekday
231,Cake,afternoon,weekday
232,Tea,afternoon,weekday
232,Tea,afternoon,weekday
232,Bread,afternoon,weekday
233,Coffee,afternoon,weekday
233,Tea,afternoon,weekday
233,Bread,afternoon,weekday
233,Soup,afternoon,weekday
234,Coffee,afternoon,weekday
234,Coffee,afternoon,weekday
235,Scandinavian,afternoon,weekday
236,Fudge,afternoon,weekday
237,Coffee,afternoon,weekday
237,Sandwich,afternoon,weekday
238,Tea,afternoon,weekday
238,Bread,afternoon,weekday
238,Cookies,afternoon,weekday
238,Pastry,afternoon,weekday
239,Muffin,afternoon,weekday
240,Scandinavian,afternoon,weekday
241,Jam,afternoon,weekday
241,Tea,afternoon,weekday
242,Juice,afternoon,weekday
242,Tea,afternoon,weekday
242,Alfajores,afternoon,weekday
243,Cake,afternoon,weekday
243,Muffin,afternoon,weekday
243,Coffee,afternoon,weekday
243,Soup,afternoon,weekday
244,Hot chocolate,afternoon,weekday
244,Cake,afternoon,weekday
244,Coffee,afternoon,weekday
245,Cake,afternoon,weekday
245,Cookies,afternoon,weekday
246,Tea,afternoon,weekday
246,Bread,afternoon,weekday
247,Alfajores,afternoon,weekday
247,Coffee,afternoon,weekday
247,Coffee,afternoon,weekday
247,Coffee,afternoon,weekday
247,Juice,afternoon,weekday
248,Coffee,afternoon,weekday
248,Tea,afternoon,weekday
248,Soup,afternoon,weekday
249,Hot chocolate,afternoon,weekday
250,Cookies,afternoon,weekday
251,Coffee,afternoon,weekday
251,Medialuna,afternoon,weekday
252,Bread,afternoon,weekday
252,Eggs,afternoon,weekday
253,Scandinavian,evening,weekday
254,Medialuna,evening,weekday
255,Coffee,morning,weekday
255,Coffee,morning,weekday
255,Pastry,morning,weekday
256,Coffee,morning,weekday
256,Bread,morning,weekday
257,Bread,morning,weekday
257,Coffee,morning,weekday
257,Pastry,morning,weekday
258,Coffee,morning,weekday
258,Pastry,morning,weekday
259,Pastry,morning,weekday
260,Coffee,morning,weekday
261,Coffee,morning,weekday
262,Coffee,morning,weekday
262,Hot chocolate,morning,weekday
262,Pastry,morning,weekday
263,Coke,morning,weekday
264,Coffee,morning,weekday
264,Jam,morning,weekday
265,Tea,morning,weekday
266,Bread,morning,weekday
266,Pastry,morning,weekday
267,Coffee,morning,weekday
267,Alfajores,morning,weekday
267,Farm House,morning,weekday
268,Tea,morning,weekday
268,Pastry,morning,weekday
269,Bread,morning,weekday
270,Coffee,morning,weekday
270,Jam,morning,weekday
271,Coffee,morning,weekday
271,Tea,morning,weekday
271,Coffee,morning,weekday
271,Pastry,morning,weekday
272,Farm House,morning,weekday
274,Coffee,morning,weekday
274,Bread,morning,weekday
274,Pastry,morning,weekday
275,Farm House,morning,weekday
276,Coffee,morning,weekday
276,Coffee,morning,weekday
276,Pastry,morning,weekday
277,Farm House,morning,weekday
278,Coffee,morning,weekday
278,Pastry,morning,weekday
279,Coffee,morning,weekday
280,Coffee,morning,weekday
280,Pastry,morning,weekday
281,Bread,morning,weekday
281,Bread,morning,weekday
282,Bread,morning,weekday
282,Coffee,morning,weekday
282,Pastry,morning,weekday
283,Pastry,morning,weekday
283,Coffee,morning,weekday
284,Coffee,morning,weekday
284,Farm House,morning,weekday
285,Farm House,morning,weekday
285,Farm House,morning,weekday
285,Pastry,morning,weekday
286,Bread,morning,weekday
286,Juice,morning,weekday
286,Alfajores,morning,weekday
287,Coffee,morning,weekday
287,Pastry,morning,weekday
288,Bread,morning,weekday
288,Alfajores,morning,weekday
289,Bread,morning,weekday
290,Coffee,morning,weekday
290,Cookies,morning,weekday
291,Coffee,morning,weekday
292,Cookies,morning,weekday
293,Hearty & Seasonal,morning,weekday
294,Coffee,morning,weekday
295,Jam,morning,weekday
295,Tartine,morning,weekday
295,Bread,morning,weekday
296,Farm House,morning,weekday
296,Scandinavian,morning,weekday
297,Hearty & Seasonal,afternoon,weekday
297,Coffee,afternoon,weekday
297,Muffin,afternoon,weekday
297,Scandinavian,afternoon,weekday
298,Tartine,afternoon,weekday
298,Pick and Mix Bowls,afternoon,weekday
298,Coffee,afternoon,weekday
298,Coke,afternoon,weekday
299,Bread,afternoon,weekday
300,Scandinavian,afternoon,weekday
300,Farm House,afternoon,weekday
300,Alfajores,afternoon,weekday
300,Coffee,afternoon,weekday
300,Coffee,afternoon,weekday
301,Juice,afternoon,weekday
301,Mineral water,afternoon,weekday
301,Soup,afternoon,weekday
302,Soup,afternoon,weekday
302,Tea,afternoon,weekday
303,Juice,afternoon,weekday
303,Tea,afternoon,weekday
303,Cookies,afternoon,weekday
303,Soup,afternoon,weekday
304,Hearty & Seasonal,afternoon,weekday
304,Tea,afternoon,weekday
305,Fudge,afternoon,weekday
306,Coffee,afternoon,weekday
306,Mineral water,afternoon,weekday
306,Juice,afternoon,weekday
306,Soup,afternoon,weekday
307,Hearty & Seasonal,afternoon,weekday
308,Hearty & Seasonal,afternoon,weekday
308,Smoothies,afternoon,weekday
309,Hearty & Seasonal,afternoon,weekday
309,Tea,afternoon,weekday
310,Coffee,afternoon,weekday
310,Sandwich,afternoon,weekday
310,Sandwich,afternoon,weekday
311,Cookies,afternoon,weekday
311,Farm House,afternoon,weekday
312,Soup,afternoon,weekday
312,Tea,afternoon,weekday
312,Juice,afternoon,weekday
313,Soup,afternoon,weekday
314,Coffee,afternoon,weekday
316,Bread,afternoon,weekday
317,Cookies,afternoon,weekday
317,Tea,afternoon,weekday
318,Soup,afternoon,weekday
318,Hearty & Seasonal,afternoon,weekday
318,Bread,afternoon,weekday
319,Coffee,afternoon,weekday
320,Coffee,afternoon,weekday
321,Coffee,afternoon,weekday
321,Tea,afternoon,weekday
322,Bread,afternoon,weekday
323,Tea,afternoon,weekday
324,Coffee,afternoon,weekday
324,Tea,afternoon,weekday
325,Coffee,afternoon,weekday
326,Fudge,afternoon,weekday
327,Tea,afternoon,weekday
328,Soup,afternoon,weekday
328,Tea,afternoon,weekday
329,Juice,afternoon,weekday
330,Alfajores,afternoon,weekday
331,Bread,afternoon,weekday
332,Coffee,afternoon,weekday
332,Alfajores,afternoon,weekday
333,Juice,afternoon,weekday
333,Alfajores,afternoon,weekday
333,Cookies,afternoon,weekday
333,Pick and Mix Bowls,afternoon,weekday
333,Mineral water,afternoon,weekday
334,Coffee,evening,weekday
334,Alfajores,evening,weekday
335,Fudge,evening,weekday
336,Mighty Protein,evening,weekday
336,Juice,evening,weekday
337,Coffee,evening,weekday
337,Mineral water,evening,weekday
337,Alfajores,evening,weekday
338,Mighty Protein,evening,weekday
338,Coffee,evening,weekday
339,Alfajores,evening,weekday
340,Coffee,morning,weekday
340,Bread,morning,weekday
341,Medialuna,morning,weekday
341,Medialuna,morning,weekday
342,Medialuna,morning,weekday
342,Bread,morning,weekday
343,Farm House,morning,weekday
344,Coffee,morning,weekday
344,Pastry,morning,weekday
345,Farm House,morning,weekday
346,Coffee,morning,weekday
346,Coffee,morning,weekday
346,Pastry,morning,weekday
346,Pastry,morning,weekday
346,Coffee,morning,weekday
347,Medialuna,morning,weekday
348,Bread,morning,weekday
348,Tea,morning,weekday
348,Sandwich,morning,weekday
349,Bread,morning,weekday
350,Jam,morning,weekday
350,Coffee,morning,weekday
350,Farm House,morning,weekday
351,Focaccia,morning,weekday
352,Bread,morning,weekday
353,Tartine,morning,weekday
353,Pastry,morning,weekday
353,Bread,morning,weekday
353,My-5 Fruit Shoot,morning,weekday
354,Farm House,morning,weekday
354,Pastry,morning,weekday
355,Bread,morning,weekday
355,Pastry,morning,weekday
356,Pastry,morning,weekday
356,Bread,morning,weekday
357,Jam,morning,weekday
357,Coffee,morning,weekday
358,Farm House,morning,weekday
359,Bread,morning,weekday
359,Pastry,morning,weekday
360,Coffee,morning,weekday
360,Tea,morning,weekday
360,Bread,morning,weekday
361,Jam,morning,weekday
363,Pastry,morning,weekday
363,Medialuna,morning,weekday
363,Medialuna,morning,weekday
364,Coffee,morning,weekday
365,Tea,morning,weekday
366,Bread,morning,weekday
367,Bread,morning,weekday
367,Pastry,morning,weekday
368,Pastry,morning,weekday
369,Farm House,morning,weekday
370,Tea,morning,weekday
371,Coffee,morning,weekday
371,Brownie,morning,weekday
371,Alfajores,morning,weekday
371,Fudge,morning,weekday
372,Bread,morning,weekday
372,Fudge,morning,weekday
372,Cookies,morning,weekday
373,Coffee,morning,weekday
374,Bread,morning,weekday
375,Coffee,morning,weekday
375,Coffee,morning,weekday
375,Jam,morning,weekday
375,Pastry,morning,weekday
376,Soup,morning,weekday
376,Coffee,morning,weekday
377,Smoothies,morning,weekday
377,Soup,morning,weekday
377,Hearty & Seasonal,morning,weekday
377,Pastry,morning,weekday
378,Pastry,morning,weekday
378,Bread,morning,weekday
379,Pastry,morning,weekday
379,Medialuna,morning,weekday
380,Tea,morning,weekday
380,Coffee,morning,weekday
381,Bread,morning,weekday
381,Cookies,morning,weekday
382,Coffee,afternoon,weekday
382,Coffee,afternoon,weekday
382,Bread,afternoon,weekday
382,Hearty & Seasonal,afternoon,weekday
382,Pick and Mix Bowls,afternoon,weekday
382,Sandwich,afternoon,weekday
382,Focaccia,afternoon,weekday
383,Coffee,afternoon,weekday
384,Coffee,afternoon,weekday
384,Sandwich,afternoon,weekday
384,Brownie,afternoon,weekday
385,Brownie,afternoon,weekday
385,Cookies,afternoon,weekday
386,Coffee,afternoon,weekday
387,Coffee,afternoon,weekday
388,Sandwich,afternoon,weekday
388,Bread,afternoon,weekday
388,Coffee,afternoon,weekday
389,Coffee,afternoon,weekday
389,Hot chocolate,afternoon,weekday
390,Tea,afternoon,weekday
391,Sandwich,afternoon,weekday
391,Coffee,afternoon,weekday
391,Brownie,afternoon,weekday
392,Brownie,afternoon,weekday
392,Pastry,afternoon,weekday
392,Focaccia,afternoon,weekday
392,Farm House,afternoon,weekday
393,Cake,afternoon,weekday
393,Focaccia,afternoon,weekday
394,Soup,afternoon,weekday
394,Hearty & Seasonal,afternoon,weekday
394,Mineral water,afternoon,weekday
395,Hearty & Seasonal,afternoon,weekday
396,Hearty & Seasonal,afternoon,weekday
397,Coffee,afternoon,weekday
397,Coffee,afternoon,weekday
397,Pastry,afternoon,weekday
398,Coffee,afternoon,weekday
399,Tea,afternoon,weekday
399,Cake,afternoon,weekday
400,Coffee,afternoon,weekday
400,Soup,afternoon,weekday
401,Bread,afternoon,weekday
401,Focaccia,afternoon,weekday
401,Fudge,afternoon,weekday
402,Hot chocolate,afternoon,weekday
402,Coffee,afternoon,weekday
402,Alfajores,afternoon,weekday
403,Brownie,afternoon,weekday
403,Pastry,afternoon,weekday
403,Cake,afternoon,weekday
404,Medialuna,afternoon,weekday
404,Alfajores,afternoon,weekday
404,Dulce de Leche,afternoon,weekday
405,Dulce de Leche,afternoon,weekday
405,Alfajores,afternoon,weekday
406,Bread,afternoon,weekday
406,Cake,afternoon,weekday
407,Cake,afternoon,weekday
407,Coffee,afternoon,weekday
408,Bread,afternoon,weekday
409,Sandwich,afternoon,weekday
410,Bread,afternoon,weekday
410,Coffee,afternoon,weekday
410,Alfajores,afternoon,weekday
410,Medialuna,afternoon,weekday
411,Coffee,afternoon,weekday
412,Bread,afternoon,weekday
412,Alfajores,afternoon,weekday
413,Tea,afternoon,weekday
413,Coffee,afternoon,weekday
414,Bread,afternoon,weekday
415,Dulce de Leche,afternoon,weekday
416,Farm House,afternoon,weekday
417,Fudge,afternoon,weekday
418,Coffee,afternoon,weekday
419,Coffee,afternoon,weekday
419,Alfajores,afternoon,weekday
419,Juice,afternoon,weekday
419,Ella's Kitchen Pouches,afternoon,weekday
419,Brownie,afternoon,weekday
420,Alfajores,afternoon,weekday
421,Alfajores,afternoon,weekday
421,Brownie,afternoon,weekday
421,Cookies,afternoon,weekday
421,Bread,afternoon,weekday
421,Juice,afternoon,weekday
422,Cake,afternoon,weekday
422,Cookies,afternoon,weekday
423,Pick and Mix Bowls,afternoon,weekday
424,Coffee,afternoon,weekday
425,Farm House,afternoon,weekday
426,Tea,evening,weekday
427,Coffee,evening,weekday
428,Focaccia,evening,weekday
428,Farm House,evening,weekday
429,Dulce de Leche,evening,weekday
430,Juice,evening,weekday
430,My-5 Fruit Shoot,evening,weekday
430,Ella's Kitchen Pouches,evening,weekday
430,Cookies,evening,weekday
431,Bread,evening,weekday
432,Hot chocolate,evening,weekday
433,Coffee,evening,weekday
435,Coffee,evening,weekday
436,Coffee,evening,weekday
437,Medialuna,morning,weekday
438,Bread,morning,weekday
438,Tea,morning,weekday
438,Jam,morning,weekday
439,Farm House,morning,weekday
440,Bread,morning,weekday
441,Coffee,morning,weekday
442,Medialuna,morning,weekday
442,Coffee,morning,weekday
443,Bread,morning,weekday
444,Medialuna,morning,weekday
444,Pastry,morning,weekday
444,Medialuna,morning,weekday
445,Coffee,morning,weekday
445,Coffee,morning,weekday
445,Jam,morning,weekday
446,Bread,morning,weekday
446,Coffee,morning,weekday
447,Coffee,morning,weekday
447,Coffee,morning,weekday
448,Bread,morning,weekday
449,Hot chocolate,morning,weekday
450,Bread,morning,weekday
450,Medialuna,morning,weekday
451,Bread,morning,weekday
451,Jam,morning,weekday
452,Jam,morning,weekday
452,Bread,morning,weekday
453,Coffee,morning,weekday
453,Bread,morning,weekday
454,Bread,morning,weekday
454,Farm House,morning,weekday
455,Bread,morning,weekday
455,Coffee,morning,weekday
455,Coffee,morning,weekday
456,Tea,morning,weekday
456,Pastry,morning,weekday
457,Coffee,morning,weekday
457,Coffee,morning,weekday
458,Bread,morning,weekday
459,Pastry,morning,weekday
459,Brownie,morning,weekday
460,Farm House,morning,weekday
461,Coffee,morning,weekday
462,Tea,morning,weekday
462,Coffee,morning,weekday
462,Honey,morning,weekday
462,Cookies,morning,weekday
463,Tea,morning,weekday
464,Bread,morning,weekday
